episode_id,method,outage_duration,outage_profile,seed,episode_seed,key_scheme,ablation_row,replication_lag,topology,source_node,reconnect_node,ttr_seconds,epoch_guard_result,tau_star,scenario_id,n_actions,n_eligible,n_duplicate,n_stale,n_escalated,n_invalidated,n_unsafe,unsafe_action_rate
38,cold_restart,10,short_outage,42,4410945347301366831,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
39,cold_restart,10,short_outage,42,977859119912275389,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
40,cold_restart,10,short_outage,42,3717728350385007798,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
41,cold_restart,10,short_outage,42,8478821062099098418,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
42,cold_restart,10,short_outage,42,5504317243960385099,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
43,cold_restart,10,short_outage,42,7004282211468666896,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
44,cold_restart,10,short_outage,42,9069593571038409443,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
45,cold_restart,10,short_outage,42,7169901445945668944,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
46,cold_restart,10,short_outage,42,1971323226658117473,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
47,cold_restart,10,short_outage,42,2210813290122047459,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
48,cold_restart,10,short_outage,42,5831275017860029027,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
49,cold_restart,10,short_outage,42,7867653720717500379,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
50,cold_restart,10,short_outage,42,3400987865078376830,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
51,cold_restart,10,short_outage,42,239206013339938538,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
52,cold_restart,10,short_outage,42,7155339093114491174,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,1,0,0,0,1,0.5
