temperature,tau,fmr,n_false_match,n_total,ci_low,ci_high,source
0.7,0.64,0.255,51,200,0.19960402982802747,0.3196305130719498,dedicated_negatives
0.7,0.65,0.24,48,200,0.1860652685202468,0.3037346545572801,dedicated_negatives
0.7,0.66,0.22,44,200,0.16816453539463405,0.2823892279196257,dedicated_negatives
0.7,0.67,0.205,41,200,0.15486094831106376,0.26625819518074556,dedicated_negatives
0.7,0.68,0.205,41,200,0.15486094831106376,0.26625819518074556,dedicated_negatives
0.7,0.6900000000000001,0.205,41,200,0.15486094831106376,0.26625819518074556,dedicated_negatives
0.7,0.7000000000000001,0.205,41,200,0.15486094831106376,0.26625819518074556,dedicated_negatives
0.7,0.71,0.195,39,200,0.14605441564505764,0.25544164796511815,dedicated_negatives
0.7,0.72,0.195,39,200,0.14605441564505764,0.25544164796511815,dedicated_negatives
0.7,0.73,0.18,36,200,0.13294550662534108,0.2391159371623843,dedicated_negatives
0.7,0.74,0.155,31,200,0.11139568514638545,0.211608058937256,dedicated_negatives
0.7,0.75,0.15,30,200,0.107135265876273,0.20605693826655166,dedicated_negatives
0.7,0.76,0.15,30,200,0.107135265876273,0.20605693826655166,dedicated_negatives
0.7,0.77,0.135,27,200,0.09446507976920289,0.18929250455117141,dedicated_negatives
0.7,0.78,0.12,24,200,0.08197935023887545,0.17234361425904846,dedicated_negatives
0.7,0.79,0.11,22,200,0.07377190160716048,0.16092798300912986,dedicated_negatives
0.7,0.8,0.085,17,200,0.05374529946985246,0.13189688544235392,dedicated_negatives
0.7,0.81,0.08,16,200,0.04984015517626642,0.12599048979512317,dedicated_negatives
0.7,0.8200000000000001,0.065,13,200,0.03837598764975976,0.10802003749917945,dedicated_negatives
0.7,0.8300000000000001,0.055,11,200,0.030985020801370097,0.0957879244659355,dedicated_negatives
0.7,0.84,0.035,7,200,0.017055324637357105,0.07047146086668134,dedicated_negatives
0.7,0.85,0.025,5,200,0.010724561470787711,0.05717914415161715,dedicated_negatives
0.7,0.86,0.025,5,200,0.010724561470787711,0.05717914415161715,dedicated_negatives
0.7,0.87,0.025,5,200,0.010724561470787711,0.05717914415161715,dedicated_negatives
0.7,0.88,0.025,5,200,0.010724561470787711,0.05717914415161715,dedicated_negatives
0.7,0.89,0.025,5,200,0.010724561470787711,0.05717914415161715,dedicated_negatives
0.7,0.9,0.025,5,200,0.010724561470787711,0.05717914415161715,dedicated_negatives
0.7,0.91,0.025,5,200,0.010724561470787711,0.05717914415161715,dedicated_negatives
0.7,0.92,0.025,5,200,0.010724561470787711,0.05717914415161715,dedicated_negatives
0.7,0.93,0.015,3,200,0.005114145184492387,0.043166480556278884,dedicated_negatives
0.7,0.9400000000000001,0.01,2,200,0.0027466006037749346,0.03572248519617954,dedicated_negatives
0.7,0.9500000000000001,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.7,0.96,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.7,0.97,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.7,0.98,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.7,0.99,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.7,1.0,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
